league,team,division,city,lat,lon,latLonSpecificity,MLB Affiliate
International League,Buffalo Bisons,North,"Buffalo, New York",42.88111111,-78.87416667,stadium,Toronto Blue Jays
International League,Charlotte Knights,South,"Charlotte, North Carolina",35.227988,-80.849011,stadium,Chicago White Sox
International League,Columbus Clippers,West,"Columbus, Ohio",39.968619,-83.010743,stadium,Cleveland Guardians
International League,Durham Bulls,South,"Durham, North Carolina",35.99168889,-78.90418611,stadium,Tampa Bay Rays
International League,Gwinnett Stripers,South,"Lawrenceville, Georgia",34.04149444,-83.99236667,stadium,Atlanta Braves
International League,Indianapolis Indians,West,"Indianapolis, Indiana",39.765,-86.16833333,stadium,Pittsburgh Pirates
International League,Lehigh Valley IronPigs,North,"Allentown, Pennsylvania",40.62611111,-75.4525,stadium,Philadelphia Phillies
International League,Louisville Bats,West,"Louisville, Kentucky",38.25618611,-85.74465278,stadium,Cincinatti Reds
International League,Norfolk Tides,South,"Norfolk, Virginia",36.84278889,-76.27886944,stadium,Baltimore Orioles
International League,Pawtucket Red Sox,North,"Pawtucket, Rhode Island",41.87316389,-71.37003889,stadium,Boston Red Sox
International League,Rochester Red Wings,North,"Rochester, New York",43.15826667,-77.61979444,stadium,Washington Nationals
International League,Scranton/Wilkes-Barre RailRiders,North,"Moosic, Pennsylvania",41.36040556,-75.68396667,stadium,New York Yankees
International League,Syracuse Chiefs,North,"Syracuse, New York",43.07907778,-76.16535833,stadium,New York Mets
International League,Toledo Mud Hens,West,"Toledo, Ohio",41.64833333,-83.53888889,stadium,Detroit Tigers
Pacific Coast League,Albuquerque Isotopes,Pacific Southern,"Albuquerque, New Mexico",35.07,-106.629,teamPage,Colorado Rockies
Pacific Coast League,El Paso Chihuahuas,Pacific Southern,"El Paso, Texas",31.759,-106.493,stadium,San Diego Padres
Pacific Coast League,Fresno Grizzlies,Pacific Northern,"Fresno, California",36.7321,-119.7905,stadium,Colorado Rockies
Pacific Coast League,Iowa Cubs,American Northern,"Des Moines, Iowa",41.58027778,-93.61583333,stadium,Chicago Cubs
Pacific Coast League,Las Vegas 51s,Pacific Southern,"Summerlin, Nevada",36.15227778,-115.3294167,stadium,Oakland A's
Pacific Coast League,Memphis Redbirds,American Southern,"Memphis, Tennessee",35.14305556,-90.04916667,stadium,St Louis Cardinals
Pacific Coast League,Nashville Sounds,American Southern,"Nashville, Tennessee",36.173031,-86.785033,stadium,Milwaukee Brewers
Pacific Coast League,New Orleans Baby Cakes,American Southern,"Metairie, Louisiana",29.97544167,-90.19974167,stadium,Minnesota Twins
Pacific Coast League,Oklahoma City Dodgers,American Northern,"Oklahoma City, Oklahoma",35.46496111,-97.50805,stadium,Los Angeles Dodgers
Pacific Coast League,Omaha Storm Chasers,American Northern,"Papillion, Nebraska",41.151,-96.107,teamPage,San Diego Padres
Pacific Coast League,Reno Aces,Pacific Northern,"Reno, Nevada",39.529,-119.808,stadium,Arizona Diamondbacks
Pacific Coast League,Round Rock Express,American Southern,"Round Rock, Texas",30.5273,-97.6305,stadium,Texas Rangers
Pacific Coast League,Sacramento River Cats,Pacific Northern,"West Sacramento, California",38.58037222,-121.5138,stadium,San Francisco Giants
Pacific Coast League,Salt Lake Bees,Pacific Southern,"Salt Lake City, Utah",40.741,-111.893,stadium,Los Angeles Angels
Pacific Coast League,Tacoma Rainiers,Pacific Northern,"Tacoma, Washington",47.23803333,-122.4975444,stadium,Seattle Mariners
Eastern League,Akron RubberDucks,Western,"Akron, Ohio",41.077924,-81.522202,stadium,Cleveland Guardians
Eastern League,Altoona Curve,Western,"Altoona, Pennsylvania",40.47361111,-78.39472222,stadium,Pittsburgh Pirates
Eastern League,Binghamton Rumble Ponies,Eastern,"Binghamton, New York",41.242347,-77.047067,stadium,New York Mets
Eastern League,Bowie Baysox,Western,"Bowie, Maryland",38.94555556,-76.70916667,stadium,Baltimore Orioles
Eastern League,Erie SeaWolves,Western,"Erie, Pennsylvania",42.12694444,-80.08,stadium,Detroit Tigers
Eastern League,Harrisburg Senators,Western,"Harrisburg, Pennsylvania",40.256428,-76.889977,stadium,Washington Nationals
Eastern League,Hartford Yard Goats,Eastern,"Hartford, Connecticut",41.77138889,-72.67388889,stadium,Colorado Rockies
Eastern League,New Hampshire Fisher Cats,Eastern,"Manchester, New Hampshire",42.98083333,-71.46666667,stadium,Toronto Blue Jays
Eastern League,Portland Sea Dogs,Eastern,"Portland, Maine",43.65694444,-70.27833333,stadium,Boston Red Sox
Eastern League,Reading Fightin Phils,Eastern,"Reading, Pennsylvania",40.36583333,-75.93361111,stadium,Philadelphia Phillies
Eastern League,Richmond Flying Squirrels,Western,"Richmond, Virginia",37.57180556,-77.46373333,stadium,San Francisco Giants
Eastern League,Trenton Thunder,Eastern,"Trenton, New Jersey",40.2032,-74.7609,stadium,New York Yankees
Southern League,Biloxi Shuckers,South,"Biloxi, Mississippi",30.395741,-88.893463,stadium,Milwaukee Brewers
Southern League,Birmingham Barons,North,"Birmingham, Alabama",33.50222222,-86.85583333,stadium,Chicago White Sox
Southern League,Chattanooga Lookouts,North,"Chattanooga, Tennessee",35.05444444,-85.31388889,stadium,Cincinatti Reds
